06/04/2022 11:54:00.300 - oc_logger - INFO - The optimization direction is minimization
06/04/2022 11:54:00.303 - oc_logger - INFO - QuOCS version number: 0.0.22
06/04/2022 11:54:00.303 - oc_logger - INFO - Direct search start time has been reset.
06/04/2022 11:54:00.441 - oc_logger - INFO - New record achieved. Previous FoM: 10000000000.0, new best FoM : 0.29711475206408955
06/04/2022 11:54:00.441 - oc_logger - INFO - Function evaluation number: 1, SI: 1, Sub-iteration number: 0, FoM: 0.29711475206408955
06/04/2022 11:54:00.605 - oc_logger - INFO - Function evaluation number: 2, SI: 1, Sub-iteration number: 0, FoM: 0.29711486494022765
06/04/2022 11:54:00.744 - oc_logger - INFO - Function evaluation number: 3, SI: 1, Sub-iteration number: 0, FoM: 0.2971150467757695
06/04/2022 11:54:00.870 - oc_logger - INFO - Function evaluation number: 4, SI: 1, Sub-iteration number: 0, FoM: 0.2971150223602479
06/04/2022 11:54:01.002 - oc_logger - INFO - Function evaluation number: 5, SI: 1, Sub-iteration number: 0, FoM: 0.2971148348884022
06/04/2022 11:54:01.128 - oc_logger - INFO - Function evaluation number: 6, SI: 1, Sub-iteration number: 0, FoM: 0.29711485793124814
06/04/2022 11:54:01.257 - oc_logger - INFO - Function evaluation number: 7, SI: 1, Sub-iteration number: 0, FoM: 0.29711488020333876
06/04/2022 11:54:01.378 - oc_logger - INFO - Function evaluation number: 8, SI: 1, Sub-iteration number: 0, FoM: 0.29711478648493705
06/04/2022 11:54:01.498 - oc_logger - INFO - Function evaluation number: 9, SI: 1, Sub-iteration number: 0, FoM: 0.29711480872832763
06/04/2022 11:54:01.629 - oc_logger - INFO - Function evaluation number: 10, SI: 1, Sub-iteration number: 1, FoM: 0.2971148984833818
06/04/2022 11:54:01.749 - oc_logger - INFO - Function evaluation number: 11, SI: 1, Sub-iteration number: 2, FoM: 0.29711509907165823
06/04/2022 11:54:01.882 - oc_logger - INFO - Function evaluation number: 12, SI: 1, Sub-iteration number: 2, FoM: 0.2971148748552448
06/04/2022 11:54:02.035 - oc_logger - INFO - Function evaluation number: 13, SI: 1, Sub-iteration number: 3, FoM: 0.2971150031835328
06/04/2022 11:54:02.167 - oc_logger - INFO - Function evaluation number: 14, SI: 1, Sub-iteration number: 3, FoM: 0.2971148145116982
06/04/2022 11:54:02.293 - oc_logger - INFO - Function evaluation number: 15, SI: 1, Sub-iteration number: 4, FoM: 0.2971149364174328
06/04/2022 11:54:02.419 - oc_logger - INFO - Function evaluation number: 16, SI: 1, Sub-iteration number: 4, FoM: 0.29711481023122666
06/04/2022 11:54:02.542 - oc_logger - INFO - Function evaluation number: 17, SI: 1, Sub-iteration number: 5, FoM: 0.29711487936549885
06/04/2022 11:54:02.671 - oc_logger - INFO - Function evaluation number: 18, SI: 1, Sub-iteration number: 5, FoM: 0.29711481193145883
06/04/2022 11:54:02.804 - oc_logger - INFO - Function evaluation number: 19, SI: 1, Sub-iteration number: 6, FoM: 0.2971149430410661
06/04/2022 11:54:02.937 - oc_logger - INFO - Function evaluation number: 20, SI: 1, Sub-iteration number: 6, FoM: 0.2971148009679305
06/04/2022 11:54:03.063 - oc_logger - INFO - Function evaluation number: 21, SI: 1, Sub-iteration number: 7, FoM: 0.2971148305381923
06/04/2022 11:54:03.203 - oc_logger - INFO - Function evaluation number: 22, SI: 1, Sub-iteration number: 8, FoM: 0.2971148514969615
06/04/2022 11:54:03.322 - oc_logger - INFO - Function evaluation number: 23, SI: 1, Sub-iteration number: 8, FoM: 0.2971147905427922
06/04/2022 11:54:03.444 - oc_logger - INFO - Function evaluation number: 24, SI: 1, Sub-iteration number: 9, FoM: 0.29711485259214676
06/04/2022 11:54:03.567 - oc_logger - INFO - Function evaluation number: 25, SI: 1, Sub-iteration number: 9, FoM: 0.2971147879184699
06/04/2022 11:54:03.696 - oc_logger - INFO - Function evaluation number: 26, SI: 1, Sub-iteration number: 10, FoM: 0.297114848230145
06/04/2022 11:54:03.824 - oc_logger - INFO - Function evaluation number: 27, SI: 1, Sub-iteration number: 10, FoM: 0.297114779404404
06/04/2022 11:54:03.943 - oc_logger - INFO - Function evaluation number: 28, SI: 1, Sub-iteration number: 11, FoM: 0.2971148443365299
06/04/2022 11:54:04.072 - oc_logger - INFO - Function evaluation number: 29, SI: 1, Sub-iteration number: 11, FoM: 0.29711477835471434
06/04/2022 11:54:04.195 - oc_logger - INFO - Function evaluation number: 30, SI: 1, Sub-iteration number: 12, FoM: 0.29711482957880664
06/04/2022 11:54:04.306 - oc_logger - INFO - Function evaluation number: 31, SI: 1, Sub-iteration number: 12, FoM: 0.29711477866634495
06/04/2022 11:54:04.424 - oc_logger - INFO - Function evaluation number: 32, SI: 1, Sub-iteration number: 13, FoM: 0.2971148347759689
06/04/2022 11:54:04.550 - oc_logger - INFO - Function evaluation number: 33, SI: 1, Sub-iteration number: 13, FoM: 0.2971147773741756
06/04/2022 11:54:04.665 - oc_logger - INFO - Function evaluation number: 34, SI: 1, Sub-iteration number: 14, FoM: 0.2971148504648097
06/04/2022 11:54:04.787 - oc_logger - INFO - Function evaluation number: 35, SI: 1, Sub-iteration number: 14, FoM: 0.29711477186460256
06/04/2022 11:54:04.920 - oc_logger - INFO - Function evaluation number: 36, SI: 1, Sub-iteration number: 15, FoM: 0.29711479745286296
06/04/2022 11:54:05.044 - oc_logger - INFO - Function evaluation number: 37, SI: 1, Sub-iteration number: 15, FoM: 0.2971147706736772
06/04/2022 11:54:05.170 - oc_logger - INFO - Function evaluation number: 38, SI: 1, Sub-iteration number: 16, FoM: 0.2971147980784785
06/04/2022 11:54:05.289 - oc_logger - INFO - Function evaluation number: 39, SI: 1, Sub-iteration number: 16, FoM: 0.2971147691131133
06/04/2022 11:54:05.414 - oc_logger - INFO - Function evaluation number: 40, SI: 1, Sub-iteration number: 17, FoM: 0.2971147748635323
06/04/2022 11:54:05.414 - oc_logger - INFO - SI 1 finished - Number of evaluations: 40, Best FoM: 0.29711475206408955, Terminate reason: Convergence of the FoM.

06/04/2022 11:54:05.415 - oc_logger - INFO - Direct search start time has been reset.
06/04/2022 11:54:05.542 - oc_logger - INFO - Function evaluation number: 41, SI: 2, Sub-iteration number: 0, FoM: 0.29711475206408955
